variable,question,pct_administered_to_Q36_people
CNTRY,Country ID - Alpha Code,100.0
IDCNTRY,Country ID - Numeric Code,100.0
IDCNTPOP,Country Alpha Code and ISCED Level,100.0
IDSCHOOL,School ID,100.0
IDTEACH,Teacher ID,100.0
IDTQUEST,Teacher Questionnaire Form Type,100.0
IDLANG_TQ,Language of Questionnaire,100.0
ITMODE_TQ,Administration mode of the Teacher Questionnaire,100.0
TT4G01,Background/ Gender,100.0
TT4G04,Background/ First teaching qualification,100.0
TT4G06A,Background/ First teaching qualification/ Provided me with a strong understanding of the subject(s),100.0
TT4G06B,Background/ First teaching  qualification/ Provided me with ideas for managing classroom behaviour,100.0
TT4G06C,Background/ First teaching  qualification/ Included enough time for classroom observations,100.0
TT4G06D,Background/ First teaching  qualification/ Good balance between theoretical and practical aspects of teaching,100.0
TT4G06E,Background/ First teaching  qualification/ Provided me with enough practical opportunities,100.0
TT4G06F,Background/ First teaching  qualification/ Overall high quality,100.0
TT4G07A,Background/ Prepared for teaching/ Content of some or all subject(s) I teach,100.0
TT4G07B,Background/ Prepared for teaching/ Pedagogy of some or all subject(s) I teach,100.0
TT4G07C,Background/ Prepared for teaching/ General pedagogy,100.0
TT4G07D,Background/ Prepared for teaching/ Classroom practice in some or all subject(s) I teach,100.0
TT4G07E,Background/ Prepared for teaching/ Teaching in a multicultural or multilingual setting,100.0
TT4G07F,Background/ Prepared for teaching/ Use of <digital resources and tools> for teaching,100.0
TT4G07G,Background/ Prepared for teaching/ Supporting students' development,100.0
TT4G07I,Background/ Prepared for teaching/ Promoting play and peer interaction,100.0
TT4G07J,Background/ Prepared for teaching/ Supporting children's transitions from <ISCED level 0> to <ISCED level 1>,100.0
TT4G08,Background/ Teaching as the first choice as a career,100.0
TT4G09,Current Work/ Employment status (in terms of tenure) as a teacher at this school,100.0
TT4G10,Current Work/ Currently working as a teacher of <ISCED 2011 level x> at another school,100.0
TT4G14,Current Work/ Total hours spent on tasks related to job at this school during most recent complete calendar week,100.0
TT4G15,Current Work/ Hours spent on teaching at this school during most recent complete calendar week,100.0
TT4G16A,Current Work/ Hours spent on tasks during most recent complete calendar week/ Individual planning or preparation of lessons,100.0
TT4G16B,Current Work/ Hours spent on tasks during most recent complete calendar week/ Team work and dialogue with colleagues within school,100.0
TT4G16C,Current Work/ Hours spent on tasks during most recent complete calendar week/ Marking/correcting of student work,100.0
TT4G16D,Current Work/ Hours spent on tasks during most recent complete calendar week/ Counselling students,100.0
TT4G16E,Current Work/ Hours spent on tasks during most recent complete calendar week/ Participation in school management,100.0
TT4G16F,Current Work/ Hours spent on tasks during most recent complete calendar week/ General administrative work,100.0
TT4G16G,Current Work/ Hours spent on tasks during most recent complete calendar week/ Professional learning activities,100.0
TT4G16H,Current Work/ Hours spent on tasks during most recent complete calendar week/ Communication and co-operation with parents,100.0
TT4G16I,Current Work/ Hours spent on tasks during most recent complete calendar week/ Engaging in extracurricular activities,100.0
TT4G16J,Current Work/ Hours spent on tasks during most recent complete calendar week/ Other work tasks,100.0
TT4G17A,Professional Learning/ Participation in induction/ I took part in a formal induction programme,100.0
TT4G17B,Professional Learning/ Participation in induction/ I took part in informal induction activities,100.0
TT4G18A,Professional Learning/ Part of induction/ Courses/seminars/workshops,100.0
TT4G18B,Professional Learning/ Part of induction/ Online courses/seminars/workshops,100.0
TT4G18C,Professional Learning/ Part of induction/ Online activities (e.g. virtual communities),100.0
TT4G18D,Professional Learning/ Part of induction/ Planned meetings with principal and/or experienced colleagues,100.0
TT4G18E,Professional Learning/ Part of induction/ Supervision by principal and/or experienced colleagues,100.0
TT4G18F,Professional Learning/ Part of induction/ Networking/collaboration with other new teachers,100.0
TT4G18G,Professional Learning/ Part of induction/ Team teaching with experienced teachers,100.0
TT4G18H,Professional Learning/ Part of induction/ Portfolios/diaries/journals,100.0
TT4G18I,Professional Learning/ Part of induction/ Reduced teaching load,100.0
TT4G18J,Professional Learning/ Part of induction/ General/administrative introduction,100.0
TT4G18K,Professional Learning/ Part of induction/ Observing teachers at this school,100.0
TT4G19A,Professional Learning/ Involvement in mentoring activities/ I currently have an assigned mentor to support me,100.0
TT4G19B,Professional Learning/ Involvement in mentoring activities/ I am currently assigned mentor for one or more teacher,100.0
TT4G20A,Professional Learning/ Participation in PL activities/ Courses/seminars/workshops,100.0
TT4G20B,Professional Learning/ Participation in PL activities/ Education conferences,100.0
TT4G20C,Professional Learning/ Participation in PL activities/ Formal qualification programme,100.0
TT4G20D,Professional Learning/ Participation in PL activities/ Visits to other schools,100.0
TT4G20E,Professional Learning/ Participation in PL activities/ Visits to business premises,100.0
TT4G20F,Professional Learning/ Participation in PL activities/ Reflections on lesson observations,100.0
TT4G20G,Professional Learning/ Participation in PL activities/ Coaching,100.0
TT4G20H,Professional Learning/ Participation in PL activities/ Formal or informal teacher networks,100.0
TT4G20I,Professional Learning/ Participation in PL activities/ Self-initiated learning activities,100.0
TT4G20J,Professional Learning/ Participation in PL activities/ Other,100.0
TT4G21A,Professional Learning/ Content of PL activities/ Knowledge and understanding of subject field(s),100.0
TT4G21B,Professional Learning/ Content of PL activities/ Pedagogy of the subject matter(s) I teach,100.0
TT4G21C,Professional Learning/ Content of PL activities/ Knowledge of the curriculum,100.0
TT4G21D,Professional Learning/ Content of PL activities/ Student assessment practices,100.0
TT4G21E,Professional Learning/ Content of PL activities/ Pedagogical skills for incorporating <digital resources and tools>,100.0
TT4G21F,Professional Learning/ Content of PL activities/ Technical skills for the use of <digital resources and tools>,100.0
TT4G21G,Professional Learning/ Content of PL activities/ Using artificial intelligence for teaching and learning,100.0
TT4G21H,Professional Learning/ Content of PL activities/ Classroom management for student behaviour,100.0
TT4G21I,Professional Learning/ Content of PL activities/ School management and administration,100.0
TT4G21J,Professional Learning/ Content of PL activities/ Approaches to individualised learning,100.0
TT4G21K,Professional Learning/ Content of PL activities/ Teaching students with special education needs,100.0
TT4G21L,Professional Learning/ Content of PL activities/ Teaching in a multicultural or multilingual setting,100.0
TT4G21M,Professional Learning/ Content of PL activities/ Analysis and use of student assessments,100.0
TT4G21N,Professional Learning/ Content of PL activities/ Teacher-parent co-operation,100.0
TT4G21O,Professional Learning/ Content of PL activities/ Methods for supporting students’ social and emotional learning,100.0
TT4G21Q,Professional Learning/ Content of PL activities/ Play and peer interaction,100.0
TT4G21R,Professional Learning/ Content of PL activities/ Children transitioning from <ISCED level 0> to <ISCED level 1>,100.0
TT4G21S,Professional Learning/ Content of PL activities/ Other,100.0
TT4G22,Professional Learning/ Positive impact of PL activities on teaching,100.0
TT4G23A,Professional Learning/ Characteristics of PL of importance/ Buildt on my prior knowledge,100.0
TT4G23B,Professional Learning/ Characteristics of PL of importance/ Adapted to my personal development needs,100.0
TT4G23C,Professional Learning/ Characteristics of PL of importance/ Provided a coherent structure,100.0
TT4G23D,Professional Learning/ Characteristics of PL of importance/ Focused on content needed to teach my subject,100.0
TT4G23E,Professional Learning/ Characteristics of PL of importance/ Provided opportunities for my active learning,100.0
TT4G23F,Professional Learning/ Characteristics of PL of importance/ Provided opportunities for collaborative sharing,100.0
TT4G23G,Professional Learning/ Characteristics of PL of importance/ Provided opportunities to practise/apply new ideas,100.0
TT4G23H,Professional Learning/ Characteristics of PL of importance/ Provided opportunities for reflection about my teaching,100.0
TT4G23I,Professional Learning/ Characteristics of PL of importance/ Provided follow-up activities,100.0
TT4G23J,Professional Learning/ Characteristics of PL of importance/ Addressed my school’s needs,100.0
TT4G23K,Professional Learning/ Characteristics of PL of importance/ Involved most colleagues from this school,100.0
TT4G23L,Professional Learning/ Characteristics of PL of importance/ Took place over an extended period of time,100.0
TT4G24A,Professional Learning/ PL needs/ Knowledge and understanding of my subject field(s),100.0
TT4G24B,Professional Learning/ PL needs/ The pedagogy of the subject matter(s) I teach,100.0
TT4G24C,Professional Learning/ PL needs/ Knowledge of the curriculum,100.0
TT4G24D,Professional Learning/ PL needs/ Student assessment practices,100.0
TT4G24E,Professional Learning/ PL needs/ Pedagogical skills for incorporating <digital resources and tools>,100.0
TT4G24F,Professional Learning/ PL needs/ Technical skills for the use of <digital resources and tools>,100.0
TT4G24G,Professional Learning/ PL needs/ Skills for using artificial intelligence,100.0
TT4G24H,Professional Learning/ PL needs/ Classroom management for student behaviour,100.0
TT4G24I,Professional Learning/ PL needs/ School management and administration,100.0
TT4G24J,Professional Learning/ PL needs/ Approaches to individualised learning,100.0
TT4G24K,Professional Learning/ PL needs/ Teaching students with special education needs,100.0
TT4G24L,Professional Learning/ PL needs/ Teaching in a multicultural or multilingual setting,100.0
TT4G24M,Professional Learning/ PL needs/ Analysis and use of student assessments,100.0
TT4G24N,Professional Learning/ PL needs/ Teacher-parent co-operation,100.0
TT4G24O,Professional Learning/ PL needs/ Methods for supporting students' social and emotional learning,100.0
TT4G24Q,Professional Learning/ PL needs/ Play and peer interaction,100.0
TT4G24R,Professional Learning/ PL needs/ Children transitioning from <ISCED level 0> to <ISCED level 1>,100.0
TT4G25A,Professional Learning/ Barriers to PL/ I do not have the pre-requisites,100.0
TT4G25B,Professional Learning/ Barriers to PL/ Professional learning is too expensive,100.0
