variable_name,column_number_ttgintt4,source_type,official_variable_label,label_group_1,label_group_2,label_group_3,label_group_4,teacher_questionnaire_question,item,valid_value_labels,special_missing_or_skip_codes,all_value_labels,available_idpop,available_files,recommended_cleaning_note
CNTRY,1,identifier/design/admin,Country ID - Alpha Code,Country ID - Alpha Code,,,,,,,,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",No special cleaning note beyond standard type checks.
IDCNTRY,2,identifier/design/admin,Country ID - Numeric Code,Country ID - Numeric Code,,,,,,8 = Albania | 31 = Azerbaijan | 36 = Australia | 40 = Austria | 48 = Bahrain | 56 = Belgium | 76 = Brazil | 100 = Bulgaria | 152 = Chile | 170 = Colombia | 188 = Costa Rica | 191 = Croatia | 196 = Cyprus | 203 = Czechia | 208 = Denmark | 233 = Estonia | 246 = Finland | 250 = France | 348 = Hungary | 352 = Iceland | 376 = Israel | 380 = Italy | 392 = Japan | 398 = Kazakhstan | 410 = Korea | 411 = Kosovo | 428 = Latvia | 440 = Lithuania | 470 = Malta | 484 = Mexico | 499 = Montenegro | 504 = Morocco | 528 = Netherlands | 554 = New Zealand | 578 = Norway | 616 = Poland | 620 = Portugal | 682 = Saudi Arabia | 688 = Serbia | 702 = Singapore | 703 = Slovak Republic | 704 = Viet Nam | 705 = Slovenia | 710 = South Africa | 724 = Spain | 752 = Sweden | 784 = United Arab Emirates | 792 = Türkiye | 807 = Republic of North Macedonia | 840 = United States | 860 = Uzbekistan | 956 = Flemish Comm. (Belgium) | 9134 = Alberta (Canada) | 9642 = Romania | 56002 = French Comm. (Belgium) | 156001 = Shanghai (China) | 528003 = Netherlands - additional,999998 = Not administered | 999999 = Omitted or invalid,8 = Albania | 31 = Azerbaijan | 36 = Australia | 40 = Austria | 48 = Bahrain | 56 = Belgium | 76 = Brazil | 100 = Bulgaria | 152 = Chile | 170 = Colombia | 188 = Costa Rica | 191 = Croatia | 196 = Cyprus | 203 = Czechia | 208 = Denmark | 233 = Estonia | 246 = Finland | 250 = France | 348 = Hungary | 352 = Iceland | 376 = Israel | 380 = Italy | 392 = Japan | 398 = Kazakhstan | 410 = Korea | 411 = Kosovo | 428 = Latvia | 440 = Lithuania | 470 = Malta | 484 = Mexico | 499 = Montenegro | 504 = Morocco | 528 = Netherlands | 554 = New Zealand | 578 = Norway | 616 = Poland | 620 = Portugal | 682 = Saudi Arabia | 688 = Serbia | 702 = Singapore | 703 = Slovak Republic | 704 = Viet Nam | 705 = Slovenia | 710 = South Africa | 724 = Spain | 752 = Sweden | 784 = United Arab Emirates | 792 = Türkiye | 807 = Republic of North Macedonia | 840 = United States | 860 = Uzbekistan | 956 = Flemish Comm. (Belgium) | 9134 = Alberta (Canada) | 9642 = Romania | 56002 = French Comm. (Belgium) | 156001 = Shanghai (China) | 528003 = Netherlands - additional | 999998 = Not administered | 999999 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 999998 = Not administered | 999999 = Omitted or invalid"
IDCNTPOP,3,identifier/design/admin,Country Alpha Code and ISCED Level,Country Alpha Code and ISCED Level,,,,,,,,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",No special cleaning note beyond standard type checks.
IDSCHOOL,4,identifier/design/admin,School ID,School ID,,,,,,,9998 = Not administered | 9999 = Omitted or invalid,9998 = Not administered | 9999 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 9998 = Not administered | 9999 = Omitted or invalid"
IDTEACH,5,identifier/design/admin,Teacher ID,Teacher ID,,,,,,,999998 = Not administered | 999999 = Omitted or invalid,999998 = Not administered | 999999 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 999998 = Not administered | 999999 = Omitted or invalid"
IDTQUEST,6,identifier/design/admin,Teacher Questionnaire Form Type,Teacher Questionnaire Form Type,,,,,,1 = Form A | 2 = Form B | 3 = Form C,8 = Not administered | 9 = Omitted or invalid,1 = Form A | 2 = Form B | 3 = Form C | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
IDLANG_TQ,7,identifier/design/admin,Language of Questionnaire,Language of Questionnaire,,,,,,1 = English | 2 = Spanish | 3 = French | 4 = Afrikaans | 5 = Albanian | 7 = Vietnamese | 8 = Bokmål | 9 = Bulgarian | 10 = Chinese | 11 = Danish | 12 = Dutch | 14 = Georgian | 15 = German | 16 = Hebrew | 17 = Hungarian | 18 = Icelandic | 20 = Italian | 21 = Latvian | 22 = Lithuanian | 23 = Macedonian | 24 = Maori | 26 = Nynorsk | 27 = Polish | 28 = Romanian | 29 = Russian | 30 = Slovak | 31 = Slovenian | 32 = Swedish | 34 = Czech | 35 = Turkish | 36 = Bosnian (Cyrillic) | 37 = Bosnian (Latin) | 39 = Kazakh | 41 = Irish | 43 = Finnish | 44 = Greek | 45 = Portuguese | 46 = Estonian | 47 = Korean | 48 = Maltese | 49 = Catalan | 51 = Basque | 52 = Valencian | 53 = Arabic | 54 = Armenian | 55 = Azerbaijani | 56 = Croatian | 57 = Galician | 58 = Japanese | 59 = Malay | 61 = Tamil | 63 = Persian | 66 = Tatar | 67 = Montenegrin (Cyrillic) | 69 = Serbian (Cyrillic) | 70 = Serbian (Latin) | 71 = Uzbek (Latin) | 72 = Uzbek (Cyrillic) | 78 = Montenegrin (Latin),98 = Not administered | 99 = Omitted or invalid,1 = English | 2 = Spanish | 3 = French | 4 = Afrikaans | 5 = Albanian | 7 = Vietnamese | 8 = Bokmål | 9 = Bulgarian | 10 = Chinese | 11 = Danish | 12 = Dutch | 14 = Georgian | 15 = German | 16 = Hebrew | 17 = Hungarian | 18 = Icelandic | 20 = Italian | 21 = Latvian | 22 = Lithuanian | 23 = Macedonian | 24 = Maori | 26 = Nynorsk | 27 = Polish | 28 = Romanian | 29 = Russian | 30 = Slovak | 31 = Slovenian | 32 = Swedish | 34 = Czech | 35 = Turkish | 36 = Bosnian (Cyrillic) | 37 = Bosnian (Latin) | 39 = Kazakh | 41 = Irish | 43 = Finnish | 44 = Greek | 45 = Portuguese | 46 = Estonian | 47 = Korean | 48 = Maltese | 49 = Catalan | 51 = Basque | 52 = Valencian | 53 = Arabic | 54 = Armenian | 55 = Azerbaijani | 56 = Croatian | 57 = Galician | 58 = Japanese | 59 = Malay | 61 = Tamil | 63 = Persian | 66 = Tatar | 67 = Montenegrin (Cyrillic) | 69 = Serbian (Cyrillic) | 70 = Serbian (Latin) | 71 = Uzbek (Latin) | 72 = Uzbek (Cyrillic) | 78 = Montenegrin (Latin) | 98 = Not administered | 99 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 98 = Not administered | 99 = Omitted or invalid"
ITMODE_TQ,8,identifier/design/admin,Administration mode of the Teacher Questionnaire,Administration mode of the Teacher Questionnaire,,,,,,1 = Online | 2 = Paper,8 = Not administered | 9 = Omitted or invalid,1 = Online | 2 = Paper | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G01,9,teacher questionnaire item,Background/ Gender,Background,Gender,,,1,,1 = Female | 2 = Male | 3 = <country-specific>,8 = Not administered | 9 = Omitted or invalid,1 = Female | 2 = Male | 3 = <country-specific> | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G04,10,teacher questionnaire item,Background/ First teaching qualification,Background,First teaching qualification,,,4,,1 = A <regular teacher education or training programme> | 2 = A <fast-track/shorter or specialised teacher education or training programme> | 3 = Subject-specific <education or training> only | 4 = I have another formal qualification not listed above. | 5 = I have no formal qualification related to the subject I am teaching or to any type of pedagogical education.,8 = Not administered | 9 = Omitted or invalid,1 = A <regular teacher education or training programme> | 2 = A <fast-track/shorter or specialised teacher education or training programme> | 3 = Subject-specific <education or training> only | 4 = I have another formal qualification not listed above. | 5 = I have no formal qualification related to the subject I am teaching or to any type of pedagogical education. | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
